时间,城市,音乐剧,角色,剧院
2024-06-09 20:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-06-18 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-06-26 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-07-16 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-07-22 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-07-24 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-07-30 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-08-01 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-08-17 20:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-08-24 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-09-13 19:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-09-17 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-09-20 19:30,上海,我，堂吉诃德,阿尔东莎,上音歌剧院歌剧厅
2024-09-21 14:00,上海,我，堂吉诃德,阿尔东莎,上音歌剧院歌剧厅
2024-09-22 19:30,上海,我，堂吉诃德,阿尔东莎,上音歌剧院歌剧厅
2024-09-23 19:30,上海,我，堂吉诃德,阿尔东莎,上音歌剧院歌剧厅
2024-09-27 19:30,上海,我，堂吉诃德,阿尔东莎,上音歌剧院歌剧厅
2024-09-28 19:30,上海,我，堂吉诃德,阿尔东莎,上音歌剧院歌剧厅
2024-10-01 13:30,上海,蝶变,沈文君,黄浦剧场小剧场
2024-10-03 13:30,上海,蝶变,沈文君,黄浦剧场小剧场
2024-10-04 14:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-10-04 20:00,上海,蝶变,沈文君,黄浦剧场小剧场
2024-10-05 20:00,上海,蝶变,沈文君,黄浦剧场小剧场
2024-10-07 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-10-12 19:30,上海,蝶变,沈文君,黄浦剧场小剧场
2024-10-25 19:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-10-26 14:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-10-26 19:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-10-27 14:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-10-27 19:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-11-01 19:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-11-02 14:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-11-02 19:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-11-03 14:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-11-03 19:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-11-07 19:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-11-08 19:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-11-09 14:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
2024-11-16 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-11-30 20:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-12-14 20:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-12-21 14:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2024-12-24 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-12-25 19:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2024-12-27 19:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2024-12-29 19:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2024-12-31 22:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2025-01-04 20:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2025-01-10 19:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2025-01-19 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
